#V_S	V_OUT
0.0002	0.0138656586049462
0.0004	0.0143989289995546
0.0006	0.0149321993770919
0.0008	0.0154654697560538
0.001	0.0159987400964853
0.0012	0.0165320104240215
0.0014	0.0170652807461983
0.0016	0.0175985510477322
0.0018	0.0181318213130529
0.002	0.0186650915710318
0.0022	0.0191983618146085
0.0024	0.0197316320183519
0.0026	0.0202649022398606
0.0028	0.0207981724115954
0.003	0.0213314425667286
0.0032	0.0218647126954611
0.0034	0.0223979828067772
0.0036	0.0229312529003911
0.0038	0.0234645229768148
0.004	0.0239977929938695
0.0042	0.0245310630116837
0.0044	0.0250643329992313
0.0046	0.0255976029453318
0.0048	0.0261308729033565
0.005	0.0266641427857405
0.0052	0.0271974126790153
0.0054	0.0277306825400857
0.0056	0.0282639523547137
0.0058	0.0287972221459409
0.006	0.0293304919143139
0.0062	0.0298637616583392
0.0064	0.0303970313412588
0.0066	0.0309303009970403
0.0068	0.0314635706547733
0.007	0.0319968402322965
0.00719999999999999	0.0325301097979045
0.00739999999999999	0.0330633793497814
0.00759999999999999	0.0335966488607075
0.00779999999999999	0.0341299183147316
0.00799999999999999	0.0346631877551621
0.00819999999999999	0.0351964571219726
0.0084	0.0357297264896427
0.0086	0.0362629958113616
0.0088	0.036796265088054
0.009	0.0373295343332229
0.0092	0.0378628035318509
0.0094	0.0383960726974775
0.0096	0.0389293417969544
0.0098	0.0394626108974036
0.01	0.0399958799467906
0.0102	0.0405291489276314
0.0104	0.0410624178920054
0.0106	0.0415956867851138
0.0108	0.0421289556778172
0.011	0.0426622244804703
0.0112	0.0431954932813514
0.0114	0.0437287620273873
0.0116	0.0442620306978894
0.0118	0.0447952993295233
0.012	0.0453285679404153
0.0122	0.0458618364529268
0.0124	0.046395104983701
0.0126	0.0469283733937173
0.0128	0.0474616418229549
0.013	0.0479949101280186
0.0132	0.0485281784295092
0.0134	0.0490614467316202
0.0136	0.0495947148617804
0.0138	0.0501279830314028
0.014	0.0506612511143277
0.0142	0.051194519128627
0.0144	0.0517277871176418
0.0146	0.0522610550364268
0.0148	0.0527943229524651
0.015	0.0533275907285442
0.0152	0.0538608585032403
0.0154	0.0543941261794968
0.0156	0.0549273938520811
0.0158	0.05546066144926
0.016	0.0559939289486468
0.0162	0.0565271964410047
0.0164	0.0570604638071347
0.0166	0.0575937311687282
0.0168	0.0581269984751529
0.017	0.0586602656518079
0.0172	0.0591935328470566
0.0174	0.0597267999330404
0.0176	0.0602600670130832
0.0178	0.0607933339323008
0.018	0.0613266008429818
0.0182	0.0618598676424839
0.0184	0.062393134432034
0.0186	0.0629264011344941
0.0188	0.0634596678020012
0.019	0.0639929343763306
0.0192	0.0645262008899079
0.0194	0.065059467309867
0.0196	0.0655927336920622
0.0198	0.0661259999527309
0.02	0.0666592662311112
0.0202	0.0671925323548998
0.0204	0.0677257984679094
0.0206	0.0682590644545473
0.0208	0.0687923303985061
0.021	0.0693255962410501
0.0212	0.0698588620418382
0.0214	0.0703921277698126
0.0216	0.0709253933627016
0.0218	0.071458658973677
0.022	0.0719919244778467
0.0222	0.0725251898147457
0.0224	0.0730584551639765
0.0226	0.0735917204042936
0.0228	0.0741249855992077
0.023	0.0746582506791443
0.0232	0.0751915157116002
0.0234	0.0757247806318021
0.0236	0.0762580454677722
0.0238	0.0767913102516911
0.024	0.0773245749525483
0.0242	0.0778578395648999
0.0244	0.0783911040930363
0.0246	0.0789243685336767
0.0248	0.0794576328508446
0.025	0.0799908971126821
0.0252	0.0805241612851166
0.0254	0.0810574254326878
0.0256	0.0815906893863617
0.0258	0.0821239532437319
0.026	0.0826572171474416
0.0262	0.0831904808851482
0.0264	0.0837237444908515
0.0265999999999999	0.084257008033819
0.0267999999999999	0.0847902715131789
0.0269999999999999	0.0853235348935383
0.0271999999999999	0.0858567981734546
0.0273999999999999	0.0863900613140925
0.0275999999999999	0.0869233244998201
0.0277999999999999	0.0874565874314397
0.0279999999999999	0.0879898503343213
0.0281999999999999	0.0885231131291095
0.0283999999999999	0.0890563758512793
0.0285999999999999	0.0895896385074933
0.0287999999999999	0.0901229009770016
0.0289999999999999	0.0906561634069644
0.0291999999999999	0.0911894257287776
0.0293999999999999	0.0917226878987233
0.0295999999999999	0.0922559501075111
0.0297999999999999	0.0927892120474873
0.0299999999999999	0.0933224739850466
0.0301999999999999	0.0938557357669752
0.0303999999999999	0.0943889975075625
0.0305999999999999	0.0949222591695267
0.0307999999999999	0.0954555206670891
0.0309999999999999	0.0959887820434154
0.0311999999999999	0.0965220432933545
0.0313999999999999	0.0970553045839067
0.0315999999999999	0.0975885656214249
0.0317999999999999	0.0981218266155986
0.0319999999999999	0.0986550874366874
0.0321999999999999	0.0991883481715162
0.0323999999999999	0.0997216088113776
0.0325999999999999	0.100254869450317
0.0327999999999999	0.100788129782599
0.0329999999999999	0.101321390149083
0.0331999999999999	0.101854650333589
0.0333999999999999	0.102387910467011
0.0335999999999999	0.102921170414761
0.0337999999999999	0.103454430221596
0.0339999999999999	0.103987690062641
0.0341999999999999	0.104520949667503
0.0343999999999999	0.105054209174348
0.0345999999999999	0.105587468621954
0.0347999999999999	0.106120727874471
